frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
103,1.718,764.88,386.78,9.91,0.72,232,0.655,1
104,1.7347,792.83,379.53,9.8,0.75,231,0.68,1
105,1.7514,820.06,373.14,9.6,0.786,232,0.715,1
106,1.768,846.69,367.58,9.55,0.741,232,0.674,1
107,1.7847,872.78,362.69,9.36,0.737,231,0.668,1
108,1.8014,898.33,358.43,9.25,0.732,232,0.666,1
109,1.8181,923.2,354.87,9.3,0.733,232,0.667,1
110,1.8348,947.47,352.02,9.45,0.769,233,0.703,1
111,1.8514,971.35,349.93,9.27,0.753,232,0.685,1
112,1.8681,994.75,348.54,9.47,0.691,230,0.624,1
113,1.8848,1017.62,347.86,9.56,0.821,231,0.744,1
114,1.9015,1040.01,347.98,9.51,0.659,231,0.597,1
115,1.9182,1062.0,348.72,9.24,0.608,232,0.553,1
116,1.9348,1083.62,349.99,8.95,0.759,231,0.688,1
117,1.9515,1104.83,351.85,8.4,0.763,232,0.695,1
118,1.9682,1125.7,354.38,8.25,0.761,231,0.689,1
119,1.9849,1146.19,357.45,7.51,0.829,233,0.757,1
120,2.0016,1166.16,360.93,7.82,0.844,232,0.768,1
121,2.0182,1185.64,364.85,7.85,0.833,232,0.757,1
122,2.0349,1204.66,369.3,7.91,0.81,233,0.74,1
123,2.0516,1223.19,374.19,7.66,0.77,235,0.71,1
124,2.0683,1241.36,379.55,8.07,0.772,231,0.699,1
125,2.0849,1259.33,385.41,7.92,0.75,233,0.685,1
126,2.1016,1277.02,391.73,7.85,0.798,233,0.729,1
127,2.1183,1294.34,398.52,7.67,0.829,232,0.754,1
128,2.135,1311.35,405.85,7.66,0.717,232,0.652,1
129,2.1517,1328.03,413.67,7.69,0.833,233,0.761,1
130,2.1683,1344.44,421.88,7.77,0.781,233,0.714,1
131,2.185,1360.52,430.34,8.47,0.657,233,0.6,1
132,2.2017,1376.17,439.09,8.21,0.758,239,0.71,2
133,2.2184,1391.76,448.51,7.54,0.768,235,0.708,1
134,2.2351,1407.16,458.31,7.59,0.74,231,0.67,1
135,2.2517,1422.07,468.03,7.29,0.793,236,0.734,1
136,2.2684,1436.5,477.86,6.28,0.812,237,0.755,1
