frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
107,1.7847,1241.15,438.25,5.46,0.871,255,0.871,9
108,1.8014,1197.19,359.18,4.65,0.871,221,0.755,23
109,1.8181,,,,,,0.0,13
110,1.8348,1367.06,291.66,5.48,0.88,255,0.88,12
111,1.8514,1492.35,257.12,5.64,0.864,255,0.864,20
112,1.8681,1520.22,249.2,5.23,0.867,223,0.758,16
113,1.8848,1520.21,248.78,5.4,0.815,239,0.764,33
114,1.9015,,,,,,0.0,32
115,1.9182,1520.12,248.58,5.73,0.89,249,0.869,40
116,1.9348,1520.05,248.42,5.73,0.89,244,0.851,38
117,1.9515,1520.04,248.17,5.5,0.821,239,0.769,34
118,1.9682,1516.73,251.04,5.5,0.821,255,0.821,22
119,1.9849,,,,,,0.0,27
120,2.0016,1505.07,261.66,5.84,0.885,255,0.885,26
121,2.0182,1476.01,271.61,4.65,0.871,228,0.779,48
122,2.0349,1406.84,269.39,5.84,0.885,216,0.75,20
123,2.0516,,,,,,0.0,37
124,2.0683,1309.36,275.76,5.93,0.887,255,0.887,55
125,2.0849,,,,,,0.0,40
126,2.1016,1281.0,292.11,6.15,0.842,255,0.842,39
127,2.1183,1294.82,301.7,6.22,0.836,247,0.81,41
128,2.135,1302.28,303.31,6.51,0.858,250,0.841,42
129,2.1517,1302.39,302.86,6.51,0.858,255,0.858,45
130,2.1683,1302.43,302.49,6.51,0.858,255,0.858,48
131,2.185,1302.37,302.21,6.15,0.842,249,0.822,49
132,2.2017,1302.29,301.9,6.18,0.849,250,0.832,36
133,2.2184,1302.24,301.55,6.3,0.857,251,0.844,50
134,2.2351,1302.33,301.34,6.3,0.857,254,0.854,60
135,2.2517,1302.5,301.22,5.96,0.845,196,0.649,38
136,2.2684,1302.53,300.95,5.96,0.845,214,0.709,51
137,2.2851,1302.39,300.45,6.28,0.877,253,0.871,60
138,2.3018,1302.27,299.96,6.23,0.863,254,0.86,54
139,2.3185,1294.92,297.47,6.3,0.857,250,0.84,53
140,2.3351,1262.07,288.08,6.37,0.878,247,0.85,49
141,2.3518,,,,,,0.0,51
142,2.3685,1204.22,276.3,5.77,0.876,255,0.876,47
143,2.3852,1154.96,281.96,5.7,0.881,216,0.746,40
144,2.4019,,,,,,0.0,51
145,2.4185,1119.2,301.69,6.19,0.877,250,0.86,62
146,2.4352,1096.83,304.96,5.9,0.879,226,0.779,59
147,2.4519,1083.56,289.71,4.65,0.871,200,0.684,64
148,2.4686,1080.41,280.08,4.65,0.871,225,0.769,61
149,2.4853,1087.71,282.53,5.88,0.836,211,0.692,53
150,2.5019,1094.35,286.24,6.49,0.878,250,0.86,49
151,2.5186,1090.66,280.8,4.65,0.871,197,0.673,40
152,2.5353,1098.99,270.7,6.79,0.735,238,0.686,50
153,2.552,1125.57,258.63,5.73,0.803,198,0.624,42
154,2.5687,1127.66,254.03,4.95,0.872,228,0.78,35
155,2.5853,1048.25,268.93,6.18,0.898,255,0.898,50
156,2.602,,,,,,0.0,52
157,2.6187,901.71,294.52,7.45,0.864,244,0.827,47
158,2.6354,810.9,308.81,7.5,0.874,240,0.822,56
159,2.6521,790.43,311.38,7.24,0.854,244,0.817,45
160,2.6687,790.47,311.14,7.28,0.864,240,0.813,49
161,2.6854,790.57,310.97,7.31,0.851,245,0.818,44
162,2.7021,790.51,310.44,7.37,0.844,247,0.818,45
163,2.7188,790.28,309.64,7.69,0.871,242,0.827,54
164,2.7355,790.12,309.1,7.69,0.871,239,0.816,37
165,2.7521,790.09,308.71,7.56,0.86,244,0.823,61
166,2.7688,790.09,308.12,7.65,0.862,239,0.808,39
167,2.7855,790.02,307.47,7.82,0.871,236,0.806,36
168,2.8022,789.96,306.9,7.37,0.872,236,0.807,50
169,2.8189,790.02,306.36,7.76,0.858,244,0.821,31
170,2.8355,790.07,305.82,7.73,0.859,238,0.801,38
171,2.8522,790.08,305.34,7.53,0.861,242,0.817,37
172,2.8689,790.24,305.01,7.67,0.866,240,0.815,35
173,2.8856,790.32,304.63,6.99,0.824,237,0.766,38
174,2.9022,790.09,304.02,7.58,0.853,242,0.81,37
175,2.9189,789.97,303.36,7.59,0.875,242,0.831,29
176,2.9356,790.06,302.73,7.69,0.871,239,0.816,41
177,2.9523,790.02,302.01,7.54,0.855,242,0.812,38
178,2.969,789.92,301.42,7.17,0.867,243,0.826,38
179,2.9856,789.96,301.04,7.06,0.84,242,0.797,39
180,3.0023,789.96,300.65,7.92,0.855,245,0.822,33
181,3.019,789.92,300.01,7.33,0.856,242,0.813,36
182,3.0357,789.89,299.32,7.17,0.855,244,0.818,37
183,3.0524,789.8,298.68,7.66,0.845,245,0.812,39
184,3.069,789.72,298.19,7.68,0.849,244,0.813,37
185,3.0857,789.7,297.77,7.3,0.857,244,0.82,40
186,3.1024,789.68,297.33,7.3,0.857,244,0.82,51
187,3.1191,789.67,296.71,7.27,0.87,244,0.832,43
188,3.1358,789.65,296.05,7.56,0.849,243,0.809,37
189,3.1524,789.59,295.54,7.1,0.881,240,0.829,50
190,3.1691,789.57,294.99,7.29,0.875,239,0.82,31
191,3.1858,789.65,294.35,7.5,0.874,245,0.839,42
192,3.2025,789.69,293.87,7.45,0.864,250,0.847,35
193,3.2192,789.63,293.38,7.44,0.87,254,0.866,46
194,3.2358,789.5,292.71,7.91,0.872,247,0.845,36
195,3.2525,789.41,292.11,7.44,0.87,240,0.819,50
196,3.2692,789.41,291.64,7.44,0.87,239,0.815,40
197,3.2859,789.48,291.11,7.31,0.851,245,0.818,50
198,3.3026,789.49,290.5,7.31,0.851,246,0.821,41
199,3.3192,789.38,289.79,7.58,0.865,239,0.811,50
200,3.3359,789.23,289.26,7.55,0.878,242,0.833,44
201,3.3526,789.1,288.94,7.57,0.871,243,0.83,45
202,3.3693,789.06,288.57,7.44,0.882,243,0.84,59
203,3.386,789.04,288.09,7.56,0.889,243,0.847,49
204,3.4026,789.02,287.58,7.46,0.887,243,0.845,50
205,3.4193,789.03,287.07,7.67,0.895,245,0.86,50
206,3.436,789.11,286.51,7.45,0.864,245,0.83,48
207,3.4527,789.1,285.98,7.01,0.829,246,0.8,35
208,3.4694,789.01,285.61,7.52,0.85,245,0.817,50
209,3.486,788.92,285.09,7.4,0.901,245,0.866,42
210,3.5027,788.88,284.53,7.48,0.892,244,0.853,53
211,3.5194,788.88,283.93,7.36,0.891,240,0.838,32
212,3.5361,788.87,283.42,7.36,0.891,243,0.849,59
213,3.5528,788.86,282.91,7.38,0.896,240,0.843,43
214,3.5694,788.9,282.41,7.36,0.891,240,0.838,50
215,3.5861,788.98,281.99,7.37,0.885,242,0.84,62
216,3.6028,789.0,281.93,7.26,0.888,252,0.878,46
