frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
3107,51.8191,427.23,322.15,5.05,0.755,187,0.554,4
3108,51.8357,441.76,333.21,14.32,0.67,183,0.48,5
3109,51.8524,452.06,348.49,9.44,0.673,187,0.494,4
3110,51.8691,442.58,347.81,9.12,0.735,190,0.548,7
3111,51.8858,387.29,307.79,8.72,0.66,187,0.484,2
3112,51.9025,,,,,,0.0,1
3113,51.9191,296.52,238.68,10.59,0.802,224,0.704,4
3114,51.9358,242.01,196.33,10.65,0.793,222,0.69,4
3115,51.9525,230.36,186.16,10.49,0.813,232,0.74,3
3116,51.9692,230.92,185.33,10.53,0.806,232,0.734,4
3117,51.9858,231.55,184.72,10.55,0.809,221,0.701,2
3118,52.0025,222.18,189.94,10.6,0.786,219,0.675,3
3119,52.0192,187.83,209.39,10.26,0.808,226,0.716,3
3120,52.0359,159.38,225.69,10.56,0.693,189,0.514,3
3121,52.0526,189.7,208.87,10.16,0.775,228,0.693,3
3122,52.0692,,,,,,0.0,1
3123,52.0859,225.88,189.0,9.62,0.776,228,0.694,3
3124,52.1026,230.1,191.55,9.82,0.771,230,0.695,1
3125,52.1193,209.57,221.37,9.67,0.741,228,0.663,3
3126,52.136,,,,,,0.0,1
3127,52.1526,192.9,255.81,8.54,0.783,204,0.626,2
3128,52.1693,195.71,263.27,8.88,0.662,226,0.586,3
3129,52.186,253.33,294.38,5.81,0.71,214,0.596,5
3130,52.2027,580.44,384.06,5.84,0.745,198,0.578,4
3131,52.2193,,,,,,0.0,6
3132,52.236,1147.47,491.83,8.45,0.714,238,0.666,3
3133,52.2527,,,,,,0.0,3
3134,52.2694,1417.38,502.74,6.51,0.665,223,0.581,4
3135,52.2861,1169.59,412.43,6.09,0.695,208,0.567,5
3136,52.3027,,,,,,0.0,3
3137,52.3194,640.53,281.07,10.05,0.762,233,0.697,8
3138,52.3361,320.61,206.02,9.83,0.767,237,0.713,6
3139,52.3528,249.51,189.14,9.91,0.798,228,0.714,4
3140,52.3694,250.12,188.84,11.16,0.753,218,0.644,3
3141,52.3861,251.27,188.55,10.04,0.8,238,0.746,4
3142,52.4028,252.25,188.3,10.01,0.801,237,0.745,4
3143,52.4195,252.74,188.04,10.69,0.736,217,0.626,4
3144,52.4362,253.37,187.83,10.61,0.72,211,0.596,4
3145,52.4528,254.51,187.81,11.16,0.747,209,0.612,2
3146,52.4695,255.92,188.09,9.93,0.801,232,0.728,6
3147,52.4862,298.34,193.86,11.41,0.69,188,0.509,1
3148,52.5029,484.93,217.87,11.52,0.665,222,0.579,4
3149,52.5196,,,,,,0.0,0
3150,52.5362,791.86,257.09,7.18,0.759,182,0.542,1
3151,52.5529,956.49,281.79,7.68,0.733,198,0.569,2
3152,52.5696,897.07,287.32,8.38,0.693,190,0.517,4
3153,52.5863,,,,,,0.0,3
3154,52.6029,711.64,277.54,9.85,0.751,250,0.736,4
3155,52.6196,556.82,259.89,5.26,0.707,211,0.585,8
3156,52.6363,471.62,265.87,5.09,0.795,221,0.689,8
3157,52.653,423.61,295.49,5.97,0.792,181,0.563,6
3158,52.6697,388.56,308.3,6.47,0.796,185,0.578,3
3159,52.6863,352.21,281.44,6.79,0.798,182,0.569,4
3160,52.703,323.66,232.33,12.77,0.713,190,0.532,2
3161,52.7197,360.55,211.62,12.53,0.678,190,0.505,4
3162,52.7364,448.72,226.37,5.56,0.756,195,0.578,2
