frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
3043,50.7517,1196.38,556.32,10.79,0.889,240,0.836,2
3044,50.7683,1200.22,550.33,10.71,0.861,240,0.811,2
3045,50.785,1204.12,545.13,10.69,0.892,239,0.836,3
3046,50.8017,1208.05,540.64,10.8,0.876,242,0.831,2
3047,50.8184,1211.99,536.84,10.82,0.894,240,0.841,2
3048,50.8351,1215.93,533.81,10.62,0.887,243,0.845,2
3049,50.8517,1219.82,531.65,11.06,0.863,243,0.823,2
3050,50.8684,1223.76,530.37,11.01,0.889,243,0.847,2
3051,50.8851,1227.78,530.0,11.07,0.858,243,0.817,3
3052,50.9018,1231.8,530.53,11.08,0.868,242,0.823,4
3053,50.9184,1235.77,531.98,11.4,0.889,240,0.837,3
3054,50.9351,1239.73,534.26,11.38,0.872,240,0.821,2
3055,50.9518,1243.79,537.35,11.45,0.852,240,0.802,3
3056,50.9685,1247.93,541.34,11.39,0.856,242,0.812,3
3057,50.9852,1252.15,546.27,11.57,0.839,240,0.79,3
3058,51.0018,1256.44,552.02,11.69,0.875,243,0.834,3
3059,51.0185,1260.65,558.71,11.73,0.875,239,0.82,3
3060,51.0352,1264.82,566.44,11.85,0.838,242,0.796,3
3061,51.0519,1269.03,575.16,11.89,0.879,243,0.838,3
3062,51.0685,1273.23,584.82,11.95,0.869,242,0.825,4
3063,51.0852,1277.45,595.25,11.99,0.857,242,0.814,3
3064,51.1019,1281.72,605.04,12.34,0.816,240,0.768,3
3065,51.1186,1285.95,610.33,11.63,0.853,242,0.81,3
3066,51.1353,1290.11,608.61,11.68,0.838,243,0.798,4
3067,51.1519,1294.34,603.18,11.63,0.861,243,0.82,3
3068,51.1686,1298.72,597.59,11.87,0.847,242,0.804,3
3069,51.1853,1303.13,592.84,12.01,0.821,240,0.773,3
3070,51.202,1307.57,588.97,12.02,0.867,239,0.813,2
3071,51.2187,1312.03,586.02,12.32,0.887,242,0.841,2
3072,51.2353,1316.37,583.99,12.3,0.784,242,0.744,2
3073,51.252,1320.62,582.93,12.44,0.87,240,0.819,2
