frame_index,timestamp_s,side,active_side,inferred_active_side,active_side_source,active_side_confidence,label,ball_x,ball_y,signed_dist_px,foot_x,foot_y,foot_confidence,foot_mode,left_signed_dist_px,right_signed_dist_px,left_foot_x,left_foot_y,right_foot_x,right_foot_y,review_required,frame_path,roi_frame_path
929,15.4981,right,right,right,ball_window_vote,1.0,foot_fault_volley,,,-10.78,1574.33,785.51,0.705,event_hybrid,37.11,-10.78,141.88,840.07,1574.33,785.51,False,results/presentation_demo/demo_v1_active_side/foot_faults/event_frames/event_00929.png,results/presentation_demo/demo_v1_active_side/foot_faults/roi_frames/event_00929_roi.png
1537,25.641,right,right,right,ball_window_vote,1.0,uncertain,,,-41.93,1664.0,800.0,0.355,event_hybrid,16.72,-41.93,193.12,839.0,1664.0,800.0,True,results/presentation_demo/demo_v1_active_side/foot_faults/event_frames/event_01537.png,results/presentation_demo/demo_v1_active_side/foot_faults/roi_frames/event_01537_roi.png
1948,32.4975,left,left,left,ball_window_vote,0.551,uncertain,449.4,504.91,21.72,244.49,779.54,0.749,event_hybrid,21.72,0.02,244.49,779.54,1561.0,731.0,True,results/presentation_demo/demo_v1_active_side/foot_faults/event_frames/event_01948.png,results/presentation_demo/demo_v1_active_side/foot_faults/roi_frames/event_01948_roi.png
