frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
98,1.6346,1128.9,438.87,4.93,0.682,201,0.537,20
99,1.6513,1128.73,438.69,4.82,0.642,200,0.504,9
100,1.668,1128.7,438.41,4.97,0.607,202,0.481,12
101,1.6846,1128.81,438.15,4.93,0.652,203,0.519,13
102,1.7013,1128.76,438.0,4.84,0.655,205,0.526,17
103,1.718,1128.53,437.87,5.08,0.606,209,0.497,21
104,1.7347,1128.44,437.71,4.72,0.466,208,0.38,15
105,1.7514,1128.48,437.46,4.9,0.559,204,0.447,13
106,1.768,1128.49,437.2,4.84,0.544,198,0.422,16
107,1.7847,1128.33,436.95,4.89,0.539,203,0.429,17
108,1.8014,1128.07,436.68,4.82,0.556,203,0.442,19
109,1.8181,1127.93,436.44,4.87,0.53,205,0.426,17
110,1.8348,1127.95,436.18,4.84,0.627,205,0.504,13
111,1.8514,1127.82,435.91,5.12,0.663,203,0.527,18
112,1.8681,1127.6,435.67,4.97,0.622,203,0.495,20
113,1.8848,1127.47,435.45,4.82,0.579,204,0.463,16
114,1.9015,1127.49,435.22,4.95,0.637,207,0.517,14
115,1.9182,1127.6,434.95,5.12,0.546,203,0.435,14
116,1.9348,1127.66,434.66,5.06,0.62,201,0.489,16
117,1.9515,1127.63,434.31,5.08,0.67,204,0.536,19
118,1.9682,1127.65,433.92,5.19,0.625,204,0.5,15
119,1.9849,1127.69,433.6,5.25,0.725,204,0.58,16
120,2.0016,1127.71,433.29,5.14,0.687,205,0.552,20
121,2.0182,1127.74,432.99,5.4,0.584,205,0.469,11
122,2.0349,1127.75,432.76,5.2,0.663,203,0.528,12
123,2.0516,1127.82,432.48,5.28,0.733,202,0.581,9
124,2.0683,1127.94,432.08,5.54,0.775,207,0.629,16
125,2.0849,1128.01,431.65,5.54,0.762,200,0.597,15
126,2.1016,1128.03,431.27,5.4,0.767,207,0.622,17
127,2.1183,1128.06,430.87,5.41,0.717,210,0.591,13
128,2.135,1128.05,430.52,5.54,0.664,202,0.526,16
129,2.1517,1128.03,430.22,5.4,0.767,208,0.625,16
130,2.1683,1128.04,429.86,5.38,0.71,208,0.579,14
131,2.185,1128.02,429.51,5.5,0.672,204,0.538,15
132,2.2017,1128.01,429.17,5.44,0.756,204,0.605,15
133,2.2184,1128.03,428.77,5.56,0.603,205,0.485,16
134,2.2351,1128.05,428.44,5.54,0.664,204,0.531,15
135,2.2517,1128.05,428.14,5.48,0.716,204,0.573,15
136,2.2684,1128.01,427.76,5.61,0.593,207,0.481,17
137,2.2851,1128.0,427.36,5.48,0.65,204,0.52,15
138,2.3018,1128.05,426.96,5.61,0.772,207,0.627,19
139,2.3185,1128.04,426.55,5.51,0.657,203,0.523,16
140,2.3351,1128.0,426.19,5.48,0.716,205,0.576,20
141,2.3518,1127.94,425.8,5.61,0.638,205,0.513,11
142,2.3685,1127.95,425.37,5.59,0.656,204,0.525,15
143,2.3852,1127.99,424.91,5.44,0.669,204,0.535,11
144,2.4019,1127.97,424.45,5.59,0.656,203,0.523,16
145,2.4185,1127.9,424.01,5.43,0.599,205,0.482,13
146,2.4352,1127.83,423.61,5.61,0.674,205,0.542,16
147,2.4519,1127.79,423.22,5.53,0.643,205,0.517,12
148,2.4686,1127.77,422.76,5.63,0.602,208,0.491,12
149,2.4853,1127.78,422.28,5.5,0.661,207,0.537,13
150,2.5019,1127.79,421.78,5.56,0.603,205,0.485,11
151,2.5186,1127.75,421.31,5.5,0.661,207,0.537,7
152,2.5353,1127.73,420.85,5.64,0.55,203,0.438,12
153,2.552,1127.8,420.37,5.53,0.643,202,0.509,14
154,2.5687,1127.85,419.91,5.43,0.673,203,0.536,18
155,2.5853,1127.83,419.49,5.53,0.643,203,0.512,12
156,2.602,1127.81,419.1,5.4,0.677,204,0.542,12
157,2.6187,1127.85,418.64,5.44,0.756,209,0.62,10
158,2.6354,1127.87,418.16,5.59,0.693,208,0.566,14
159,2.6521,1127.81,417.67,5.59,0.656,210,0.541,13
160,2.6687,1127.77,417.19,5.56,0.756,205,0.608,18
161,2.6854,1127.82,416.66,5.61,0.638,208,0.521,12
162,2.7021,1127.94,416.1,5.51,0.668,208,0.545,16
163,2.7188,1127.88,415.59,5.67,0.715,209,0.586,16
164,2.7355,1127.7,415.12,5.47,0.65,205,0.523,19
165,2.7521,1127.55,414.63,5.57,0.599,205,0.482,15
166,2.7688,1127.47,414.12,5.29,0.535,205,0.43,18
167,2.7855,1127.41,413.68,5.29,0.648,205,0.521,12
168,2.8022,1127.39,413.26,5.2,0.674,205,0.542,11
