frame_index,timestamp_s,ball_x,ball_y,raw_ball_x,raw_ball_y,radius_px,circularity,v_at_center,raw_confidence,bbox_x0,bbox_y0,bbox_x1,bbox_y1,tracking_backend,confidence,n_candidates
50,0.8341,394.88,471.29,395.02,471.39,4.91,,,0.772,390.11,466.32,399.93,476.46,ultralytics,0.772,2
51,0.8508,395.12,471.48,395.18,471.47,4.94,,,0.765,390.25,466.46,400.12,476.48,ultralytics,0.765,2
52,0.8675,395.23,471.72,395.25,471.58,4.86,,,0.746,390.39,466.64,400.11,476.53,ultralytics,0.746,1
53,0.8842,395.27,472.1,395.26,472.07,4.84,,,0.732,390.42,466.93,400.1,477.22,ultralytics,0.732,1
54,0.9009,395.32,472.45,395.31,472.67,4.69,,,0.741,390.61,467.54,400.0,477.79,ultralytics,0.741,2
55,0.9175,395.42,472.58,395.37,472.67,4.73,,,0.745,390.64,467.45,400.1,477.9,ultralytics,0.745,1
56,0.9342,395.58,472.59,395.55,472.46,4.93,,,0.733,390.62,467.43,400.49,477.49,ultralytics,0.733,1
57,0.9509,395.76,472.68,395.82,472.64,4.74,,,0.738,391.07,467.57,400.56,477.72,ultralytics,0.738,1
58,0.9676,395.93,472.88,395.92,472.81,4.76,,,0.725,391.15,467.71,400.68,477.92,ultralytics,0.725,1
59,0.9843,396.15,472.96,395.99,473.43,4.79,,,0.751,391.2,468.09,400.79,478.78,ultralytics,0.751,1
60,1.001,396.51,472.76,396.54,472.51,4.65,,,0.744,391.79,467.86,401.28,477.16,ultralytics,0.744,1
61,1.0176,396.91,472.59,396.97,472.54,4.57,,,0.732,391.99,467.97,401.95,477.11,ultralytics,0.732,1
62,1.0343,397.3,472.56,397.22,472.56,4.47,,,0.675,392.32,468.09,402.11,477.03,ultralytics,0.675,1
63,1.051,397.71,472.59,397.74,472.58,4.41,,,0.706,392.72,468.17,402.77,476.99,ultralytics,0.706,1
64,1.0677,398.17,472.61,398.09,472.64,4.32,,,0.621,393.1,468.32,403.09,476.95,ultralytics,0.621,1
65,1.0844,398.66,472.64,398.73,472.58,4.3,,,0.62,393.8,468.28,403.66,476.88,ultralytics,0.62,1
66,1.101,399.11,472.65,399.14,472.75,4.49,,,0.624,394.34,468.26,403.93,477.24,ultralytics,0.624,1
67,1.1177,399.52,472.6,399.48,472.57,4.42,,,0.635,394.62,468.15,404.34,477.0,ultralytics,0.635,1
68,1.1344,399.96,472.56,399.9,472.52,4.41,,,0.664,395.12,468.11,404.68,476.93,ultralytics,0.664,1
