frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
3101,51.719,,,,,,0.0,0
3102,51.7357,,,,,,0.0,0
3103,51.7524,,,,,,0.0,0
3104,51.769,,,,,,0.0,0
3105,51.7857,,,,,,0.0,0
3106,51.8024,,,,,,0.0,0
3107,51.8191,,,,,,0.0,0
3108,51.8357,,,,,,0.0,0
3109,51.8524,,,,,,0.0,0
3110,51.8691,,,,,,0.0,0
3111,51.8858,,,,,,0.0,0
3112,51.9025,,,,,,0.0,0
3113,51.9191,1428.27,604.57,11.83,0.457,211,0.378,1
3114,51.9358,,,,,,0.0,0
3115,51.9525,,,,,,0.0,0
3116,51.9692,,,,,,0.0,0
3117,51.9858,,,,,,0.0,0
3118,52.0025,1406.37,556.68,8.67,0.476,207,0.387,1
3119,52.0192,1388.97,518.13,8.35,0.497,209,0.407,1
3120,52.0359,1377.62,486.08,7.64,0.457,205,0.368,1
3121,52.0526,,,,,,0.0,0
3122,52.0692,1332.03,446.58,6.81,0.488,207,0.396,1
3123,52.0859,1202.23,387.49,4.9,0.482,198,0.374,1
3124,52.1026,,,,,,0.0,0
3125,52.1193,,,,,,0.0,0
3126,52.136,1112.97,312.4,5.0,0.78,175,0.535,1
3127,52.1526,,,,,,0.0,0
3128,52.1693,,,,,,0.0,0
3129,52.186,,,,,,0.0,0
3130,52.2027,,,,,,0.0,0
3131,52.2193,,,,,,0.0,0
3132,52.236,,,,,,0.0,0
3133,52.2527,,,,,,0.0,0
3134,52.2694,,,,,,0.0,0
3135,52.2861,,,,,,0.0,0
3136,52.3027,,,,,,0.0,0
3137,52.3194,,,,,,0.0,0
3138,52.3361,,,,,,0.0,0
3139,52.3528,,,,,,0.0,0
3140,52.3694,,,,,,0.0,0
3141,52.3861,1257.19,264.47,4.44,0.754,232,0.686,1
3142,52.4028,,,,,,0.0,0
3143,52.4195,1413.48,259.61,8.4,0.652,209,0.534,1
3144,52.4362,1461.86,274.68,10.7,0.693,233,0.634,1
