frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
101,1.6846,1619.13,556.55,4.89,0.809,229,0.726,17
102,1.7013,1576.38,528.93,5.81,0.46,204,0.368,8
103,1.718,1377.31,473.32,4.33,0.402,205,0.323,29
104,1.7347,,,,,,0.0,4
105,1.7514,1063.15,409.34,9.56,0.821,235,0.756,20
106,1.768,889.69,373.02,9.53,0.802,233,0.733,7
107,1.7847,872.09,361.74,9.29,0.846,232,0.769,10
108,1.8014,897.64,357.6,9.2,0.83,232,0.755,10
109,1.8181,922.63,354.17,9.23,0.828,232,0.754,10
110,1.8348,947.12,351.4,9.04,0.855,232,0.778,8
111,1.8514,971.14,349.32,8.98,0.828,231,0.75,17
112,1.8681,994.54,348.04,8.94,0.835,230,0.753,8
113,1.8848,1017.39,347.54,8.85,0.828,233,0.756,11
114,1.9015,1039.82,347.65,8.98,0.837,231,0.758,11
115,1.9182,1061.77,348.19,8.79,0.84,232,0.764,16
116,1.9348,1083.2,349.26,8.8,0.783,232,0.712,18
117,1.9515,1104.19,350.97,8.62,0.847,232,0.77,8
118,1.9682,1124.86,353.26,8.59,0.858,231,0.777,11
119,1.9849,1145.19,356.09,8.56,0.841,232,0.765,14
120,2.0016,1164.99,359.5,8.78,0.86,233,0.786,16
121,2.0182,1184.34,363.48,8.76,0.833,232,0.758,11
122,2.0349,1203.36,367.99,8.47,0.841,233,0.769,7
123,2.0516,1222.07,372.95,8.35,0.834,233,0.762,19
124,2.0683,1240.42,378.33,8.2,0.862,231,0.781,22
125,2.0849,1258.42,384.16,8.3,0.866,235,0.798,28
126,2.1016,1276.12,390.45,8.23,0.845,236,0.782,36
127,2.1183,1293.51,397.23,8.15,0.845,232,0.768,29
128,2.135,1310.56,404.5,8.23,0.845,236,0.782,31
129,2.1517,1327.27,416.1,8.38,0.867,236,0.803,29
130,2.1683,1337.56,441.41,8.18,0.843,233,0.771,28
131,2.185,1324.67,477.07,4.65,0.871,221,0.755,24
132,2.2017,1288.66,498.88,7.15,0.616,235,0.568,25
133,2.2184,1265.67,504.33,4.75,0.765,200,0.6,19
134,2.2351,1263.4,504.27,5.47,0.704,194,0.535,21
135,2.2517,1261.6,503.67,4.62,0.688,192,0.518,7
136,2.2684,1250.93,501.44,5.85,0.686,225,0.605,17
137,2.2851,1236.12,493.61,4.77,0.599,197,0.463,32
138,2.3018,1228.69,479.51,4.13,0.661,200,0.518,25
139,2.3185,1229.19,470.09,8.4,0.372,238,0.347,20
140,2.3351,1224.07,471.05,5.88,0.378,192,0.285,13
141,2.3518,1197.14,467.34,4.97,0.469,232,0.427,27
142,2.3685,1156.5,445.84,5.29,0.633,204,0.506,11
143,2.3852,1133.02,428.94,5.26,0.602,204,0.481,26
144,2.4019,1127.86,424.36,5.37,0.686,203,0.546,21
145,2.4185,1127.8,423.93,5.08,0.67,205,0.539,15
146,2.4352,1127.81,423.47,5.34,0.626,202,0.496,32
147,2.4519,1127.81,423.05,5.08,0.7,205,0.562,28
148,2.4686,1127.91,422.63,5.41,0.662,208,0.54,27
149,2.4853,1127.98,422.19,5.08,0.7,207,0.568,25
