frame_index,timestamp_s,ball_x,ball_y,vy_before,vy_after,drop_px,rise_px,near_court_surface,detection_ratio,mean_window_confidence,max_detection_gap_frames,dx_before,dx_after,confidence,label
490,8.1744,1508.0914317032277,495.8188448298644,3.594,-16.097,43.56,121.58,True,0.636,0.448,2,126.84,35.29,1.0,bounce
1257,20.9699,1427.2455820766488,584.2700426702759,12.055,-13.708,134.87,162.0,True,0.727,0.477,4,-46.28,-682.87,1.0,bounce
1714,28.5938,406.1494517871213,647.8451019365233,26.083,-22.739,161.95,119.14,True,0.455,0.461,5,-382.83,-27.74,1.0,bounce
1778,29.6615,1289.0514884353606,463.62613311360604,2.239,-9.735,45.84,63.01,True,0.455,0.4,4,812.68,294.64,1.0,bounce
