frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
110,1.8348,667.11,536.01,5.35,0.798,231,0.722,6
111,1.8514,708.42,531.44,5.61,0.791,231,0.717,21
112,1.8681,735.57,481.0,6.19,0.693,235,0.639,12
113,1.8848,766.07,394.32,5.31,0.741,245,0.712,12
114,1.9015,783.04,341.03,5.09,0.759,243,0.724,29
115,1.9182,783.66,328.77,5.11,0.74,228,0.662,35
116,1.9348,800.56,329.27,6.35,0.728,238,0.679,30
117,1.9515,854.22,325.43,5.5,0.699,222,0.609,20
118,1.9682,901.0,314.1,5.78,0.773,238,0.722,15
119,1.9849,922.85,310.37,6.24,0.799,240,0.752,21
120,2.0016,947.04,327.85,6.19,0.786,243,0.749,23
121,2.0182,982.46,365.17,5.47,0.692,228,0.619,24
122,2.0349,995.4,411.19,5.7,0.722,187,0.529,19
123,2.0516,970.0,467.17,5.86,0.661,195,0.505,19
124,2.0683,917.4,510.71,5.84,0.717,214,0.601,42
125,2.0849,864.89,524.58,6.47,0.746,222,0.649,28
126,2.1016,832.9,517.09,7.23,0.674,225,0.594,40
127,2.1183,815.07,506.18,5.98,0.852,196,0.655,39
128,2.135,781.9,513.69,6.19,0.786,228,0.703,33
129,2.1517,748.88,526.48,5.92,0.663,182,0.473,34
130,2.1683,748.68,531.78,7.48,0.673,230,0.607,42
131,2.185,763.02,531.22,6.51,0.656,189,0.486,44
132,2.2017,779.75,528.12,7.43,0.65,229,0.584,40
133,2.2184,802.36,518.96,6.0,0.729,186,0.532,30
134,2.2351,826.5,513.52,5.32,0.711,218,0.608,38
135,2.2517,832.86,520.09,5.05,0.806,216,0.683,40
136,2.2684,793.52,521.99,6.3,0.659,216,0.558,34
137,2.2851,718.5,519.07,5.08,0.687,208,0.561,31
138,2.3018,661.69,525.15,5.32,0.711,198,0.552,38
139,2.3185,643.67,529.12,5.53,0.695,201,0.548,32
140,2.3351,634.53,525.07,5.2,0.802,226,0.711,33
141,2.3518,619.66,520.03,5.08,0.687,211,0.569,27
142,2.3685,624.65,522.27,5.59,0.797,200,0.625,41
143,2.3852,639.55,519.27,5.5,0.661,198,0.514,42
144,2.4019,657.93,514.98,5.08,0.687,207,0.558,29
145,2.4185,676.19,520.89,6.26,0.753,200,0.59,32
